"number_of_packets","mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","perc_qosd","perc_qosnull","perc_other","perc_sent","perc_rec","type_of_traffic"
95,275.905263157895,43972.3632698768,0.0898465509255319,0.0913704883494081,1594,86,0.884210526315789,0.0421052631578947,0.0736842105263158,0.694736842105263,0.305263157894737,"Spotify"
236,374.309322033898,196863.159231879,0.0410692073829789,0.0422889075964856,1584,86,0.860169491525424,0.135593220338983,0.00423728813559322,0.771186440677966,0.228813559322034,"Spotify"
3144,1040.61418575064,405523.344259407,0.00306092959560929,0.00172644644953004,1584,86,0.996501272264631,0.00286259541984733,0.000636132315521629,0.341921119592875,0.658078880407125,"Spotify"
41,189.463414634146,4451.05487804878,0.241663998874999,0.0860551203024104,267,86,0.707317073170732,0.24390243902439,0.0487804878048781,1,0,"Spotify"
47,146.382978723404,4050.67622571693,0.208615330717391,0.0840607175528117,267,86,0.468085106382979,0.48936170212766,0.0425531914893617,0.936170212765957,0.0638297872340425,"Spotify"
47,183.36170212766,14861.3228492137,0.208790490586957,0.0800131876331304,855,86,0.638297872340426,0.361702127659574,0,0.893617021276596,0.106382978723404,"Spotify"
20,168.25,6497.56578947368,0.381461045368422,0.238800526618587,267,86,0.5,0.45,0.05,1,0,"Spotify"
468,805.698717948718,442227.405822764,0.0197191009614561,0.0103928238413094,1584,86,0.912393162393162,0.0769230769230769,0.0106837606837607,0.574786324786325,0.425213675213675,"Spotify"
469,556.663113006397,288182.676862938,0.0209226103141026,0.0135200501227187,1584,86,0.968017057569296,0.0277185501066098,0.00426439232409382,0.554371002132196,0.445628997867804,"Spotify"
4464,1123.43525985663,226225.365738315,0.00223114549383823,0.000197048436795002,1584,86,0.997535842293907,0.00156810035842294,0.000896057347670251,0.183467741935484,0.816532258064516,"Spotify"
78,243.730769230769,43147.5499500499,0.110415827467533,0.0542027584082164,1590,86,0.846153846153846,0.153846153846154,0,0.884615384615385,0.115384615384615,"Spotify"
167,380.413173652695,174302.677656735,0.0579149050120482,0.0201933835925894,1584,86,0.916167664670659,0.0838323353293413,0,0.898203592814371,0.101796407185629,"Spotify"
442,543.590497737557,341671.997460523,0.0188830122630387,0.0173224820067011,1584,86,0.979638009049774,0.0158371040723982,0.00452488687782805,0.678733031674208,0.321266968325792,"Spotify"
42,185.428571428571,4922.73867595819,0.204903212609757,0.154305509411753,267,86,0.69047619047619,0.285714285714286,0.0238095238095238,1,0,"Spotify"
69,199.391304347826,54004.9475703325,0.123483153264705,0.10957212179771,1584,86,0.608695652173913,0.376811594202899,0.0144927536231884,0.826086956521739,0.173913043478261,"Spotify"
115,274.634782608696,122107.07597254,0.0801244205526309,0.0436476361866134,1584,86,0.765217391304348,0.234782608695652,0,0.739130434782609,0.260869565217391,"Spotify"
172,512.720930232558,320489.863185094,0.0524162378187139,0.139294811033863,1584,86,0.918604651162791,0.0813953488372093,0,0.529069767441861,0.47093023255814,"Spotify"
186,359.397849462366,205624.067887242,0.0451990381513515,0.00812214255116266,1584,86,0.790322580645161,0.198924731182796,0.010752688172043,0.774193548387097,0.225806451612903,"Spotify"
119,230.731092436975,62826.079618288,0.0845406161779658,0.0431956244611754,1590,86,0.764705882352941,0.226890756302521,0.00840336134453781,0.798319327731092,0.201680672268908,"Spotify"
2003,886.211183225162,442132.018815932,0.00497075782817183,0.00194548301365928,1584,86,0.99400898652022,0.00499251123315027,0.000998502246630055,0.438342486270594,0.561657513729406,"Spotify"
91,332.43956043956,202872.226862027,0.101737498366667,0.0283239028122026,1584,86,0.692307692307692,0.263736263736264,0.043956043956044,0.879120879120879,0.120879120879121,"Spotify"
