"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"29599","266.620128","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-29 dBm","802.11","QoS Data, SN=957, FN=0, Flags=.p.....TC"
"29601","266.622953","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-48 dBm","802.11","QoS Data, SN=2972, FN=0, Flags=.p....F.C"
"29614","266.666766","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-29 dBm","802.11","QoS Data, SN=958, FN=0, Flags=.p.....TC"
"29725","267.279490","Google_73:3c:d4","a4:42:3b:d2:f7:08","146","-67 dBm","802.11","QoS Data, SN=1713, FN=0, Flags=.p.....TC"
"29729","267.280824","Google_73:3c:d4","a4:42:3b:d2:f7:08","146","-50 dBm","802.11","QoS Data, SN=1124, FN=0, Flags=.p....F.C"
"29733","267.281594","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","138","-29 dBm","802.11","QoS Data, SN=959, FN=0, Flags=.p.....TC"
"29735","267.281767","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","138","-52 dBm","802.11","QoS Data, SN=101, FN=0, Flags=.p....F.C"
"29741","267.293855","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-29 dBm","802.11","QoS Data, SN=960, FN=0, Flags=.p.....TC"
"29743","267.294963","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=3774, FN=0, Flags=.p....F.C"
"29745","267.296028","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-66 dBm","802.11","QoS Data, SN=1714, FN=0, Flags=.p.....TC"
"29747","267.297208","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2973, FN=0, Flags=.p....F.C"
"29764","267.340481","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-29 dBm","802.11","QoS Data, SN=961, FN=0, Flags=.p.....TC"
"29766","267.340858","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-50 dBm","802.11","QoS Data, SN=3775, FN=0, Flags=.p....F.C"
"30006","269.215818","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","182","-29 dBm","802.11","QoS Data, SN=962, FN=0, Flags=.p.....TC"
"30008","269.217205","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","182","-49 dBm","802.11","QoS Data, SN=2974, FN=0, Flags=.p....F.C"
"30094","270.370860","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-47 dBm","802.11","QoS Data, SN=1125, FN=0, Flags=.p....F.C"
"30098","270.371326","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","138","-29 dBm","802.11","QoS Data, SN=963, FN=0, Flags=.p.....TC"
"30139","270.676723","","a4:42:3b:d2:f7:08","282","-47 dBm","802.11","QoS Data, SN=2975, FN=0, Flags=.p....F.C"
"30143","270.677792","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-29 dBm","802.11","QoS Data, SN=964, FN=0, Flags=.p.....TC"
"30147","270.677978","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-29 dBm","802.11","QoS Data, SN=965, FN=0, Flags=.p.....TC"
"30150","270.685399","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-47 dBm","802.11","QoS Data, SN=2976, FN=0, Flags=.p....F.C"
"30152","270.687704","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-47 dBm","802.11","QoS Data, SN=2976, FN=0, Flags=.p..R.F.C"
"30154","270.689692","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-47 dBm","802.11","QoS Data, SN=2976, FN=0, Flags=.p..R.F.C"
"30228","271.637941","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-29 dBm","802.11","QoS Data, SN=966, FN=0, Flags=.p.....TC"
"30230","271.640720","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-49 dBm","802.11","QoS Data, SN=2977, FN=0, Flags=.p....F.C"
"30235","271.684517","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-29 dBm","802.11","QoS Data, SN=967, FN=0, Flags=.p.....TC"
"30285","272.309766","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-29 dBm","802.11","QoS Data, SN=968, FN=0, Flags=.p.....TC"
"30289","272.310396","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","399","-29 dBm","802.11","QoS Data, SN=969, FN=0, Flags=.p.....TC"
"30291","272.310542","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=3783, FN=0, Flags=.p....F.C"
"30294","272.311488","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=3783, FN=0, Flags=.p..R.F.C"
"30298","272.312622","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-69 dBm","802.11","QoS Data, SN=1722, FN=0, Flags=.p.....TC"
"30300","272.313575","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2978, FN=0, Flags=.p....F.C"
