"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"2395","35.511096968","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","230","-32 dBm","802.11","QoS Data, SN=922, FN=0, Flags=.p.....TC"
"2397","35.511807937","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","226","-32 dBm","802.11","QoS Data, SN=923, FN=0, Flags=.p.....TC"
"2400","35.514343098","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","184","-52 dBm","802.11","QoS Data, SN=1721, FN=0, Flags=.p....F.C"
"2401","35.514568283","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","254","-52 dBm","802.11","QoS Data, SN=1722, FN=0, Flags=.p....F.C"
"2402","35.514577173","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","254","-52 dBm","802.11","QoS Data, SN=1723, FN=0, Flags=.p....F.C"
"2403","35.514579369","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-52 dBm","802.11","QoS Data, SN=1724, FN=0, Flags=.p....F.C"
"2404","35.514583610","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","254","-52 dBm","802.11","QoS Data, SN=1725, FN=0, Flags=.p....F.C"
"2408","35.515172539","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","190","-51 dBm","802.11","QoS Data, SN=1726, FN=0, Flags=.p....F.C"
"2412","35.515770358","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","414","-51 dBm","802.11","QoS Data, SN=1727, FN=0, Flags=.p....F.C"
"2414","35.516102638","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","181","-32 dBm","802.11","QoS Data, SN=926, FN=0, Flags=.p.....TC"
"2418","35.516555363","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","345","-51 dBm","802.11","QoS Data, SN=1728, FN=0, Flags=.p....F.C"
"2419","35.516563976","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","414","-51 dBm","802.11","QoS Data, SN=1729, FN=0, Flags=.p....F.C"
"2420","35.516567648","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","240","-51 dBm","802.11","QoS Data, SN=1730, FN=0, Flags=.p....F.C"
"2424","35.516969560","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=927, FN=0, Flags=.p.....TC"
"2425","35.517229318","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC"
"2430","35.518054202","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC"
"2431","35.518057944","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=928, FN=0, Flags=.p.....TC"
"2432","35.518359929","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC"
"2433","35.518376409","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=928, FN=0, Flags=.p..R..TC"
"2434","35.519143478","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC"
"2435","35.519146951","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=928, FN=0, Flags=.p..R..TC"
"2438","35.520234319","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","345","-51 dBm","802.11","QoS Data, SN=1728, FN=0, Flags=.p..R.F.C"
"2439","35.520239897","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","414","-51 dBm","802.11","QoS Data, SN=1729, FN=0, Flags=.p..R.F.C"
"2440","35.520243300","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","240","-51 dBm","802.11","QoS Data, SN=1730, FN=0, Flags=.p..R.F.C"
"2442","35.520754846","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC"
"2443","35.520759703","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=928, FN=0, Flags=.p..R..TC"
"2445","35.535886002","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","177","-31 dBm","802.11","QoS Data, SN=929, FN=0, Flags=.p.....TC"
"2447","35.537488935","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","190","-31 dBm","802.11","QoS Data, SN=930, FN=0, Flags=.p.....TC"
"2451","35.555550401","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","190","-52 dBm","802.11","QoS Data, SN=1731, FN=0, Flags=.p....F.C"
"2459","35.597515030","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-52 dBm","802.11","QoS Data, SN=1732, FN=0, Flags=.p....F.C"
"2462","35.598042705","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","311","-52 dBm","802.11","QoS Data, SN=1733, FN=0, Flags=.p....F.C"
"2463","35.598052625","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","222","-52 dBm","802.11","QoS Data, SN=1734, FN=0, Flags=.p....F.C"
"2467","35.615879747","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","734","-52 dBm","802.11","QoS Data, SN=1735, FN=0, Flags=.p....F.C"
"2469","35.623770255","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","190","-32 dBm","802.11","QoS Data, SN=931, FN=0, Flags=.p.....TC"
"2473","35.669650186","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","230","-32 dBm","802.11","QoS Data, SN=932, FN=0, Flags=.p.....TC"
"2476","35.672390319","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-54 dBm","802.11","QoS Data, SN=1737, FN=0, Flags=.p....F.C"
"2480","35.673881455","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","345","-54 dBm","802.11","QoS Data, SN=1738, FN=0, Flags=.p....F.C"
"2484","35.674387873","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","240","-53 dBm","802.11","QoS Data, SN=1739, FN=0, Flags=.p....F.C"
"2486","35.674555122","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=933, FN=0, Flags=.p.....TC"
"2488","35.674860083","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=934, FN=0, Flags=.p.....TC"
"2494","35.754178904","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","185","-52 dBm","802.11","QoS Data, SN=1740, FN=0, Flags=.p....F.C"
"2497","35.754653380","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","185","-52 dBm","802.11","QoS Data, SN=1740, FN=0, Flags=.p..R.F.C"
"2499","35.754981894","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","222","-32 dBm","802.11","QoS Data, SN=936, FN=0, Flags=.p.....TC"
"2503","35.755381920","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","254","-52 dBm","802.11","QoS Data, SN=1741, FN=0, Flags=.p....F.C"
"2506","35.755854068","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","254","-52 dBm","802.11","QoS Data, SN=1741, FN=0, Flags=.p..R.F.C"
"2509","35.756190732","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","254","-52 dBm","802.11","QoS Data, SN=1741, FN=0, Flags=.p..R.F.C"
"2513","35.756772847","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","414","-52 dBm","802.11","QoS Data, SN=1742, FN=0, Flags=.p....F.C"
"2517","35.757850458","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","190","-52 dBm","802.11","QoS Data, SN=1743, FN=0, Flags=.p....F.C"
"2519","35.778545498","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=937, FN=0, Flags=.p.....TC"
"2521","35.783470487","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","1374","-33 dBm","802.11","QoS Data, SN=938, FN=0, Flags=.p.....TC"
"2523","35.783677620","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","606","-32 dBm","802.11","QoS Data, SN=939, FN=0, Flags=.p.....TC"
"2527","35.786501056","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","190","-51 dBm","802.11","QoS Data, SN=1744, FN=0, Flags=.p....F.C"
"2529","35.793354748","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","230","-32 dBm","802.11","QoS Data, SN=940, FN=0, Flags=.p.....TC"
"2533","35.795744628","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-51 dBm","802.11","QoS Data, SN=1745, FN=0, Flags=.p....F.C"
"2535","35.796158923","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","230","-32 dBm","802.11","QoS Data, SN=941, FN=0, Flags=.p.....TC"
"2537","35.796644727","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","190","-32 dBm","802.11","QoS Data, SN=942, FN=0, Flags=.p.....TC"
"2541","35.798123441","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","345","-51 dBm","802.11","QoS Data, SN=1746, FN=0, Flags=.p....F.C"
"2545","35.798682695","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","240","-51 dBm","802.11","QoS Data, SN=1747, FN=0, Flags=.p....F.C"
"2547","35.798826898","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=943, FN=0, Flags=.p.....TC"
"2551","35.799142374","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-51 dBm","802.11","QoS Data, SN=1748, FN=0, Flags=.p....F.C"
